club,nation,league,name,rating,position,price,card_types
FUT 21 ICONS,Bulgaria,Icons,Hristo Stoichkov,90,LW,609K,icon gold rare
FUT 21 ICONS,Spain,Icons,Emilio Butragueño,90,ST,1.36M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Rivaldo,90,CF,477K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Juan Sebastián Verón,90,CM,570K,icon gold rare
FUT 21 ICONS,Spain,Icons,Pep Guardiola,90,CDM,614K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Carlos Alberto Torres,90,RB,922K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Garrincha,90,RW,1.64M,icon gold rare
FUT 21 ICONS,Italy,Icons,Andrea Pirlo,90,CM,393K,icon gold rare
FUT 21 ICONS,Scotland,Icons,Kenny Dalglish,90,CF,1.37M,icon gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,90,CB,160K,gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,90,RW,170K,gold rare
Liverpool,Senegal,Premier League,Sadio Mané,90,LW,126K,gold rare
Liverpool,Brazil,Premier League,Alisson,90,GK,62K,gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,90,ST,950K,gold rare
FC Barcelona,Germany,LaLiga Santander,ter Stegen,90,GK,60K,gold rare
FUT 21 ICONS,France,Icons,Éric Cantona,90,CF,1.71M,icon gold rare
FUT 21 ICONS,Cameroon,Icons,Samuel Eto'o,90,ST,2.2M,icon gold rare
FUT 21 ICONS,Spain,Icons,Xavier Hernández,90,CM,484K,icon gold rare
FUT 21 ICONS,Croatia,Icons,Davor Šuker,90,ST,515K,icon gold rare
FUT 21 ICONS,Serbia,Icons,Nemanja Vidić,90,CB,847K,icon gold rare
Real Madrid,Belgium,LaLiga Santander,Thibaut Courtois,90,GK,195K,if gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,90,CB,173K,if gold rare
FC Barcelona,Germany,LaLiga Santander,ter Stegen,90,GK,60K,ucl_rare gold rare
Liverpool,Brazil,Premier League,Alisson,90,GK,62.5K,ucl_rare gold rare
Liverpool,Senegal,Premier League,Sadio Mané,90,LW,130K,ucl_rare gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,90,CB,162K,ucl_rare gold rare
Liverpool,Egypt,Premier League,Mohamed Salah,90,RW,180K,ucl_rare gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,90,ST,954K,ucl_rare gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,90,CF,85K,if gold rare
Napoli,Senegal,Serie A TIM,Kalidou Koulibaly,90,CB,749K,europa_live gold rare
Real Madrid,Belgium,LaLiga Santander,Eden Hazard,90,LW,1.03M,ucl_live gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,90,GK,176K,if gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,90,ST,0,console_de gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,90,CAM,915K,ucl_tott gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,90,CM,214K,ucl_tott gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,90,CB,400K,futmas gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,90,ST,364.85K,potm_bundesliga gold rare
